label, sentence
radio_drama,Find something similar to Project: Lazarus and play it
podcast,I'm in the mood for History podcasts on Women in Podcasting 
hentai,Inform me about Maho Shojo Ai
video,Check out the latest videos in technology review on rSlash 
music,Shuffle a new and unheard melody
short_film,watch a short feature
bts,Explore behind-the-scenes videos on Quibi for Clueless (filem) 
music,start a folk music playlist
radio_drama,I want to discover new radio theatre shows on Cape Noir Radio Theater 
ad,Tell me about The Boys Who Came Home: Recollections Of Gallipoli for the visually impaired
movie,suggest a movie in the political drama category suitable for a movie night with friends on Quibi 
game,time to get our game on Voxatron on Video Action VA-II
music,Set the tone for your day with a carefully crafted mix of music genres
movie,Why is this so confusing? I just want to watch Blumen des Schreckens directed by Art film 80 in the film a clef category on Apple TV+ without all this hassle
adult,List pregnancy pornography videos available on HotMovs 
music,Play the charming You Will Go to the Moon on pandora, would you
game,initiate Through the Looking Glass on Videoalvo (VD-850 A) game on
short_film,search concise film
radio,tune into radio for astronomy news
bts,Search and play behind-the-scenes footage to brighten up the day
podcast,start a design podcast
documentary,Tell me about the History documentary titled American Transgender on Google Play Movies & TV 
audiobook,Explore audio novel in the setsuwa genre on Playster 
video,Find the newest videos from Nizzotch 
comic,show me a visual novel
movie,Start a film and explore different film genres
silent_movie,I'm in the mood for a muted film 
movie,Dude, can you begin the mukbang film Diamonds Are Forever on Hoopla
radio,Play an internet radio station for a dynamic music experience
comic,play a story with graphic elements
hentai,Show me Vanilla Series on Biodiversity Heritage Library and start playback
news,Tell me the Berita Alhijrah news updates on Euronews Stream 
music,Start the album XMII by Ittai Binnun , and play the song Like I'm Lonzo on Electric Jukebox 
video,Begin a video exploration for educational and entertaining clips
music,play a song for a date night
movie,Watch the movie Lost Transmissions on Youtube TV, dear, if you can
radio_drama,Find something similar to children's radio drama on Wikisourd
game,play the game Akatori
movie,Watch Moby Dick Rehearsed by Screenvision on Hulu with me
audio,play thunderstorm sounds
movie,play a movie with a surprising ending and great cinematography on Starz 
music,Play the soundtrack of a film directed by Suresh P Kumar 
music,Begin playing Just Friends from Rick McPhail 
movie,Put on Brydekamp med Hemingway on Moviechi, seriously, it's amazing
cartoon,Find a cartoon in Noir 
podcast,Initiate playback of business news podcast
adult,List adult hardcore pornography movies
hentai,Search for Boku no Pico episodes
silent_movie,start a silent black and white movie treasure
audio,Play ambient noise in the background
bts,behind the scenes of a film composer
radio_drama,I'd like recommendations for audio dramas in the crime noir genre on Deezer 
movie,I'm looking for a movie with Genevieve O'Reilly in it, preferably in the historical drama film category, on Avanti Cinema
bw_movie,Start a vintage film in black and white on Viddsee 
music,I'm curious, what's your opinion on ASKA 's new release, Flower of Disease 
video,watch a fashion video
video,Show me funny pet videos on NPO Start 
cartoon,watch a cartoon on the big screen
series,Recommend a binge-worthy episode marathon from Lights Out with David Spade on Dyn Media 
series,Play a random episode from serialized video 
music,I recommend Puirt a beul
documentary,start a documentary on cultural diversity
video,I'm interested in watching videos on home workout routines and fitness tips on WindowSight.com 
audiobook,I'd like to listen to a book from Mongolia 
news,Play the news on Newsy Channel 
series,Start streaming the most popular series episode release 
series,I want to watch Terrace House: Opening New Doors on Footters
movie,Load up the crime film movie Father, Mother and Nine Children on Tubi 
music,What's the best teknisk dodsmetal Feel-Good Tunes for a party on QQ Music 
cartoon,show me a funny cartoon
documentary,Explore documentary films on Tubi 
music,I enjoy content related to garasjerock 
podcast,Inform me about sex and sexuality podcast on Digital collection of the city of Lubeck and suggest something
movie,start a foreign film
news,what's the world news
tv_channel,Play Nepal Television programs on Marenco Productions 
news,Play the news
comic,Play a pornographic comics motion comic titled The Walking Dead on Crunchyroll 
trailer,Play the sneak peek video for Wyscig armatniej kuli 
hentai,Watch adult Crimson Climax videos
podcast,Recommend some informative Luminary podcasts about current events
movie,Cue up the romantic drama film movie Un golpe del destino with Na Hoon-a on Paramount+
movie,Hey, play the Industrial video film Mandrie + Prejudecata + Zombi on tabii 
movie,Can you recommend a good variety film movie from Rocky Mountain Pictures? Maybe Kunnian miehia on Prime Fight Play
podcast,Find physics podcasts with inspiring stories on Acast 
movie,Fire up the mystery film movie Ma super ex directed by Elstree Studios on M-CAS 
documentary,I enjoy exploring Taboe on different platforms
documentary,Play Laramie Inside Out on Digital Comic Museum
cartoon,Play cartoons on Amazon Prime Video 
series,I want to watch Le Signe de justice
anime,Play the latest episode of Legend of the Galactic Heroes on Gogoanime 
music,start a Celtic music playlist
bts,Could you show me behind-the-scenes footage for The Franchise Affair on Namava 
music,play a song from a TV show theme
movie,Traverse the scenes of The Tailor from Ulm on Avanti Cinema 
music,Recommend Timbila on BabelNet and play it for me
documentary,Give me details about Downfall: The Case Against Boeing on PennSound and initiate playback
movie,I'm not interested in your recommendations; just play a Comedy film with Alexander Bettendorff 
silent_movie,play a silent movie treasure from the golden age
hentai,Play Aneimo ~Ai to H no Step Up~ on CartoonPornVideos 
movie,What comical film films are available on YouTube Movies 
documentary,Dive into the world of Space and Astronomy documentaries on Tubi 
music,The latest release from Pedro Terol showcases their evolution in the Eterine muzika scene
music,I want to listen to Ventino: El Precio de la Gloria on PlayStation Music 
music,Play the top tracks by Klaartje & Nicky 
music,List pops orchestra music on Taiwan Cultural Memory Bank and recommend a follow-up
radio_drama,What radio dramas are trending in the children's radio drama genre on Radio Theatre Workshop 
radio_drama,Any recommendations for detective radio theatre on Google Podcasts 
trailer,play the preview for Avengers: Endgame
cartoon,start an animated feature
news,I need the recent Dow Hour of Great Mysteries news on Reuters TV 
game,What if we try our hand at Ghost Parade on Cablestar (01-4362) 
audiobook,Resume the audio books Rebel Alliances on Tales2Go 
bts,Find and play behind-the-scenes content of So Proudly We Hail! on Peacock 
ad,Provide the spoken account of In cerca d'amore on Prime Fight Play 
cartoon,play a cartoon with heartwarming stories
game,Let's explore the virtual world of Golgo 13: Moretti Ikka Zansatsu Jiken for a bit
documentary,Recommend a documentary on Kanopy 
movie,Find me a movie with Psoy Korolenko in it, you lazy bum
movie,Can you start watching Millor que mai on Filmnet from Magnolia Pictures for me
movie,Find me films from Bio-Film Compagni in the city symphony film category available on HBO Now 
news,Search for news update on CNNniyu-suru-mu
music,Play a vibrant and energetic song
trailer,Play the video preview for the pocket film movie Kevad sudames 
music,Play the happy pop remix on Genie
music,Find a Groove Metal playlist to boost my productivity on Primephonic from Moon Ska Records 
music,Play a favorite song
movie,Put on a movie, dude! Maybe something with Peyton List or in the cartoon pornography category
silent_movie,Commence playback of a silent movie in the bedroom on the projector
documentary,List biographical work and play something for me on Three Seals Law Database 
movie,Explore Exxen for sharksploitation movies
series,Recommend a series with a strong ensemble cast on Flimmit 
movie,I'm interested in watching a film starring Lara Phillips from Hella Moja-Film GmbH on Kanopy
movie,play a movie with stunning visuals on Cavea Plus 
podcast,Learn French by Podcast is awesome
music,Play a classic
movie,Watch Bad Movie from J2 Communications on Kemi adetiba visuals, if you could
audiobook,start an adventure audiobook
radio_drama,Find something similar to dramatic romance on Education Resources Information Center and play it
movie,Play the film Kiamat Sudah Dekat on the home theater
movie,Can you start Hercules New Yorkissa from The Score Group on Filimo now
cartoon,Watch Cyberpunk on WindowSight.com
music,Play a random tune, surprise me
documentary,Play a random documentary content 
music,Explore Megafon 's collection of minimumisma muziko on Joox 
audio,play sound effects
movie,Stream the movie Ein Teufelskerl on Peerflix, if it's not too much trouble
news,start a news briefing
adult,play explicit programs
music,Choose a tracks that's new to my ears
news,Give me the inside scoop on Treyf news
news,play news coverage
hentai,play hentai episodes online
video,Play educational history videos on CNN+ 
hentai,play explicit anime scenes
adult,Yusaf Mack anal
movie,Can you start a film on Filmnet in the biographical film genre
game,I'm up for some sim racing action, what about you
music,I want to enjoy Minnen from the album I Wish I Knew by Lycaon of Samos can you play it
movie,Find a movie to watch on Tidal 
comic,Activate a biographical comics motion comic titled Infinity Gauntlet on Tubi 
silent_movie,show me a silent movie classic
series,Play the most-watched episode of The Judge on FIFA+ 
bts,behind the scenes of a film producer
bts,start behind the scenes of an action thriller
bw_movie,I'd appreciate it if you could initiate playback of an old Faust et Marguerite without color on the home theater system
movie,I'm in the mood for a good film; how about viewing Bluebird on Starz by Solax Studios
movie,Can you begin the film Dancing in Jaffa directed by Orion Classics on Peerflix
audiobook,Play the latest chapter of Top Science Fiction: The Authors' Choice on Blackstone Audio 
music,Listen to a song I never heard before
bw_movie,Find and play a classic black and white movie in the bedroom, if it's possible
audiobook,Can you play a book from Somalia on Rakuten Kobo 
music,Play the music from the film Young Indiana Jones: Travels with Father directed by Ferran Cera Bernad 
series,Suggest a series with a mind-bending plot on CINE.AR Play 
podcast,Play True Crime from Monoskop and suggest something similar
