label, sentence
comic,play a narrative with graphic storytelling
adult,List adult Cartoon movies
documentary,Play documentaries from Comoros on PBS Documentaries 
documentary,List documentaries that are popular on Tubi 
silent_movie,Explore tabii for a silent gem directed by Cherry Pimps 
hentai,Recommend Eroge! H mo Game mo Kaihatsu Zanmai films on CartoonPrn 
adult,Find incest pornography content on Wicked Pictures 
radio,Find a radio show on your favorite streaming service
short_film,play a movie under 1 hour that's heartwarming
radio,Playing a radio program from a popular streaming service could be interesting
podcast,Find and play a new episode of James Altucher's podcast on podStation
movie,Can you play a drama directed by Gordon Hecht on Filimo
series,How many seasons does Secret Diary of a Call Girl have on Amazon Freevee 
bts,Search and play film set recording for a delightful experience
music,Begin Hendersonia: Sun Ra Performs Fletcher Henderson by Godfrey in ROXI right now
hentai,Play Vixens from Cartoon Porn library
hentai,Play hentai - I'm in the mood
radio_drama,I want to listen to a action radio show on SoundCloud 
adult_asmr,Find Double Penetration ASMR sex on SexVid 
adult,play adult material
hentai,Search for S&M University shows with adult content
bw_movie,Can you recommend an old black and white movie for playback on the smart speaker
podcast,Discover a higher education podcast Without Fail on podcast.de that's highly recommended
cartoon,Can you play a Batman - A Mascara do Fantasma that's all about friendship and fun adventures
ad,Give me the spoken version of Pacific Rim 
short_film,show me a short and enjoyable movie
game,How about we unwind with Vectronom on APF-M1000 after a long day
radio,How about playing a radio program in a specific genre on my favorite streaming service
news,Listen to the latest Democracy Now! news
movie,Can you begin Virata Parvam on Showtime , directed by Nicole-Lise Bernheim and featuring Joanna Kuberska
hentai,Search for Nee Summer! episodes
radio_drama,Find an Japanese radio drama audio theatre show to listen to on Stitcher 
anime,Play a random anime from the Game genre
adult_asmr,Search for hardcore pornography sound porn on Porntube 
audio,play ambient sounds
documentary,Explore the latest in documentary filmmaking on ESPN+ 
adult,play Lesbian on RealGfPorn
adult_asmr,Look for gang bang pornography sexy ASMR on Love Home Porn 
anime,Search for anime visuals recommendations
audio,play eerie wind sounds
tv_channel,Play a random TV show on 17 Juin media 
adult_asmr,Find Teen erotic ASMR audio on FakeTaxi 
cartoon,Can you suggest an Minioni: Grujev vzpon available on Netflix 
music,Begin playing a music playlist
bts,Let's start with a bit of behind-the-scenes content - hit play
silent_movie,I want to explore the era of silent films; find me a captivating one on Youtube TV 
movie,Begin the Telefoni Bianchi film directed by Claudia Schmid on Prime Fight Play
bts,How about playing the making-of Nabonga on Crave 
game,Can we play a breeding simulation game together
documentary,Search and play an interesting informative film 
radio,Discover new radio content on streaming platforms
silent_movie,Can you initiate a silent film session on the digital photo frame in the living room
audiobook,Inform me about the audio novels A kivalasztott available on audible 
news,Play the nearby news report on Newsmax TV Online 
video,Discover the latest video content in TheFlightChannel 
adult_asmr,Play NSFW ASMR on PornHub 
cartoon,Hey, start the one with the talking animals – the Little Peeter's Dream on Kidoodle
series,I need a series recommendation – something thrilling on Paramount+ with Showtime 
movie,Activate Animals See In Many Ways in the medical thriller category on Netflix 
video,Check out the latest short video from MVPerry on MLS Season Pass 
bts,Play behind-the-scenes footage for Escorxador num. 5 on Filmnet 
series,Discover popular TV series on Justin.tv 
podcast,Discover Metal Gear Mondays A Metal in course podcast on Podchaser
music,Begin playing music by Izumi Kato 
hentai,Play Taboo Charming Mother episodes
short_film,Resume watching the short film "The Scandal Mongers" on Youtube 
anime,Let's get some anime series on
series,Any interesting series worth watching on FXNOW 
bts,Let's start with a bit of behind-the-scenes footage - play it
comic,Initiate the motion comic titled Cowboy Bebop in IDW Publishing 
hentai,Search for hentai content videos, please
game,How about we immerse ourselves in the world of Army Men: Sarge's Heroes 2 for a while
audiobook,Find me an engaging specialized literature audiobook on AudiobookSYNC 
cartoon,Find Joseph: O Basilias ton Oneiron shows on Tubi 
podcast,Check if there's a new episode of Rad or Fad on AnyPod
adult,Explore big bust pornography films on Hustler 
series,I'm in the mood for a dramatic episode what do you recommend from The Godzilla Power Hour on BBCSheng Yin  
tv_channel,Discover new TV series on Juicy Pink Box from CNX 
hentai,Search for adult Otome Saku shows on CartoonPrn 
radio,I'm looking for radio shows with diverse genres. Any suggestions for Delta Radio 
documentary,Search and play a historical documentary on dictionary of the Esperanto language 
radio,Let's dive into the variety of radio genres available on streaming services
radio,Play a radio program in a specific genre on your favorite streaming service
